Speed,direction,precipitation
4.6296,160,0
5.144,160,0
7.2016,175,0
8.2304,175,0
7.716,175,0
8.2304,175,0
7.716,175,0
7.2016,175,0
5.144,160,0
6.1728,195,0
5.6584,195,0
5.144,190,0
4.6296,230,0
3.0864,260,0
4.1152,240,0
4.1152,240,0.05
3.6008,250,0.05
3.6008,280,0.05
3.0864,240,0.05
3.0864,290,0.05
3.6008,285,0.05
3.6008,280,0.05
3.6008,260,0.05
4.6296,240,0.05
5.6584,250,0.05
5.144,270,0.05
5.6584,270,0.05
6.6872,270,0.05
7.2016,270,0.05
7.2016,272,0.05
6.1728,270,0.05
6.1728,270,0.05
5.144,280,0.05
5.144,290,0.05
2.0576,30,0.05
2.0576,340,0.05
4.1152,320,0.05
5.144,20,0.05
4.1152,350,0.05
4.1152,315,0
3.0864,315,0
3.0864,320,0
2.0576,285,0
5.144,300,0
6.6872,310,0
5.144,310,0
5.144,300,0
7.2016,300,0
8.2304,290,0
8.2304,290,0
8.7448,300,0
10.288,300,0
10.288,300,0
9.2592,290,0
11.3168,290,0
11.3168,290,0
11.8312,300,0
7.2016,310,0
6.1728,310,0
5.144,310,0
4.1152,320,0
4.6296,330,0
4.1152,20,0
3.6008,340,0.1
2.572,10,0.1
3.6008,15,0.1
4.1152,340,0.1
4.1152,10,0.1
3.6008,20,0.1
3.0864,10,0.1
3.6008,330,0.1
2.572,270,0.1
4.1152,260,0.1
4.1152,170,0.1
2.572,165,0.1
1.5432,45,0.1
2.572,30,0.1
3.6008,270,0.1
6.1728,280,0.1
5.144,240,0.1
6.1728,270,0.1
5.144,240,0.1
6.6872,255,0.1
4.1152,255,0.1
3.6008,260,0.1
4.6296,270,0.1
3.0864,300,0.1
3.0864,300,0.025
2.572,330,0.025
3.0864,330,0.025
2.572,330,0.025
4.6296,345,0.025
3.6008,345,0.025
4.6296,340,0.025
3.6008,20,0.025
2.0576,30,0.025
4.6296,30,0.025
4.1152,350,0.025
4.1152,360,0.025
5.144,60,0.025
5.144,60,0.025
5.144,30,0.025
3.6008,360,0.025
4.1152,350,0.025
6.1728,10,0.025
5.144,20,0.025
5.144,45,0.025
4.1152,330,0.025
4.1152,300,0.025
3.6008,295,0.025
2.0576,315,0.025
6.1728,315,0.004166667
5.6584,315,0.004166667
8.2304,320,0.004166667
6.1728,300,0.004166667
5.144,330,0.004166667
5.144,50,0.004166667
4.1152,300,0.004166667
8.7448,280,0.004166667
8.2304,280,0.004166667
7.716,270,0.004166667
9.2592,290,0.004166667
8.7448,270,0.004166667
9.2592,260,0.004166667
9.2592,270,0.004166667
8.7448,255,0.004166667
8.7448,260,0.004166667
8.2304,270,0.004166667
8.2304,255,0.004166667
7.2016,280,0.004166667
5.6584,280,0.004166667
5.144,320,0.004166667
4.6296,340,0.004166667
6.1728,345,0.004166667
6.1728,350,0.004166667
5.144,360,0
5.6584,360,0
7.2016,345,0
6.1728,345,0
8.2304,340,0
10.288,320,0
10.288,315,0
10.288,315,0
9.2592,300,0
10.288,290,0
10.8024,290,0
11.3168,290,0
10.8024,300,0
8.2304,280,0
10.288,285,0
8.2304,285,0
6.1728,290,0
5.144,290,0
6.1728,280,0
5.144,285,0
5.144,280,0
5.144,290,0
8.2304,285,0
5.144,300,0
5.144,290,0
5.144,280,0
1.5432,150,0
3.0864,80,0
2.572,250,0
2.572,270,0
6.1728,240,0
10.288,255,0
9.2592,255,0
10.288,255,0
5.144,270,0
10.288,270,0
10.288,255,0
10.288,260,0
11.3168,280,0
11.8312,260,0
10.288,270,0
10.288,270,0
11.3168,270,0
10.288,270,0
8.7448,270,0
10.288,270,0
11.3168,280,0
7.716,285,0
4.1152,280,0
6.1728,280,0
10.288,270,0
12.3456,270,0
10.288,270,0
10.288,260,0
8.2304,250,0
9.2592,270,0
10.288,270,0
10.288,280,0
11.3168,280,0
10.288,255,0
8.2304,250,0
9.2592,255,0
9.2592,255,0
10.288,260,0
8.2304,240,0
7.716,250,0
7.2016,280,0
7.2016,280,0
4.1152,290,0
3.6008,290,0
2.572,260,0
3.0864,300,0
2.0576,330,0.0125
2.572,340,0.0125
3.6008,330,0.0125
3.0864,330,0.0125
2.572,30,0.0125
3.6008,360,0.0125
5.144,10,0.0125
5.144,360,0.0125
4.6296,345,0.0125
5.144,345,0.0125
5.144,340,0.0125
4.6296,300,0.0125
10.288,300,0.0125
11.8312,300,0.0125
10.288,285,0.0125
7.716,290,0.0125
7.2016,285,0.0125
6.1728,300,0.0125
5.144,285,0.0125
3.6008,270,0.0125
1.5432,10,0.0125
3.0864,30,0.0125
4.1152,40,0.0125
4.1152,30,0.0125
3.6008,15,0.025
3.0864,360,0.025
2.572,350,0.025
3.0864,350,0.025
2.572,360,0.025
1.0288,360,0.025
1.0288,35,0.025
1.0288,30,0.025
4.6296,30,0.025
3.0864,345,0.025
5.6584,330,0.025
5.144,330,0.025
8.2304,315,0.025
11.3168,310,0.025
11.3168,300,0.025
5.144,290,0.025
6.1728,300,0.025
5.144,300,0.025
5.144,300,0.025
3.6008,330,0.025
5.144,315,0.025
5.144,310,0.025
7.2016,300,0.025
7.2016,250,0.025
6.1728,280,0.716666667
7.2016,280,0.716666667
7.716,280,0.716666667
9.2592,280,0.716666667
9.2592,285,0.716666667
6.1728,250,0.716666667
2.572,100,0.716666667
4.1152,260,0.716666667
5.6584,255,0.716666667
6.1728,255,0.716666667
4.6296,150,0.716666667
3.0864,160,0.716666667
3.6008,165,0.716666667
4.6296,160,0.716666667
4.1152,165,0.716666667
3.6008,180,0.716666667
3.6008,170,0.716666667
3.0864,190,0.716666667
3.0864,190,0.716666667
2.0576,195,0.716666667
2.0576,210,0.716666667
2.0576,250,0.716666667
1.0288,350,0.716666667
1.0288,270,0.716666667
1.5432,115,0.008333333
1.5432,170,0.008333333
1.5432,170,0.008333333
1.5432,195,0.008333333
1.5432,170,0.008333333
1.0288,195,0.008333333
2.0576,140,0.008333333
1.0288,120,0.008333333
1.0288,140,0.008333333
3.6008,75,0.008333333
3.0864,160,0.008333333
8.2304,270,0.008333333
8.7448,260,0.008333333
10.288,255,0.008333333
8.2304,240,0.008333333
8.2304,250,0.008333333
8.2304,255,0.008333333
8.2304,250,0.008333333
6.6872,255,0.008333333
5.144,260,0.008333333
3.6008,250,0.008333333
3.0864,225,0.008333333
3.0864,220,0.008333333
3.6008,250,0.008333333
2.0576,250,0
3.0864,260,0
3.0864,255,0
2.0576,240,0
2.572,250,0
0,275,0
1.0288,240,0
2.572,200,0
3.0864,160,0
3.0864,140,0
3.0864,80,0
3.6008,60,0
4.1152,60,0
6.1728,55,0
5.144,45,0
5.144,45,0
5.144,45,0
4.6296,45,0
4.1152,20,0
5.144,10,0
2.572,300,0
3.0864,330,0
2.0576,33,0
1.5432,280,0
3.6008,40,0.070833333
3.0864,20,0.070833333
3.6008,330,0.070833333
0.5144,340,0.070833333
5.6584,310,0.070833333
5.144,320,0.070833333
